trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20070514,3591.423,3862.402,0.011412581448049621,,0.0328745707466962
20070515,3459.841,3720.891,0.011821405379756525,,0.03278973984922895
20070516,3540.31,3807.432,0.011355260721601885,,0.03211316708701761
20070517,3609.167,3881.484,0.011138544719099353,,0.032112909878788676
20070518,3610.164,3882.735,0.011181425414277876,,0.03216013912211424
20070521,3684.377,3962.551,0.01095620222884658,,0.03216013912211424
20070522,3738.134,4020.94,0.010941162389491109,,0.03230704910191773
20070523,3812.723,4101.562,0.01082203147470086,,0.03240458286549974
20070524,3753.87,4038.346,0.01101534868815466,,0.03242899913602737
20070525,3791.173,4079.863,0.011246943634153633,,0.032779725964879214
20070528,3877.616,4173.325,0.01065486624444541,,0.03141611674630829
20070529,3991.31,4303.738,0.012224883753940029,,0.033348191713397535
20070530,3688.227,3977.066,0.013206815382224754,,0.033207360199682956
20070531,3689.331,3978.397,0.013066431079192658,,0.03271844181655825
20070601,3526.335,3803.038,0.013777699367295407,,0.032829257927073696
20070604,3220.387,3477.347,0.016303771180148807,,0.034067761947448094
20070605,3336.879,3603.346,0.013710932825830621,,0.028093609369528982
20070606,3383.474,3654.89,0.013858160605945894,,0.02843891676275545
20070607,3515.878,3797.915,0.013150757398425302,,0.02789560643440403
20070608,3564.757,3850.874,0.01301169917387103,,0.027937951908717062
20070611,3639.529,3936.945,0.013943242044653885,,0.02887454094993047
20070612,3808.509,4120.362,0.01336196656000046,,0.028676490767279406
20070613,3863.993,4181.221,0.013085601947405412,,0.02798915647613809
20070614,3807.91,4120.777,0.01331610512198689,,0.027984420716971048
20070615,3802.836,4116.032,0.013466804661243342,,0.02802278498863986
20070618,3914.487,4237.695,0.012655865859070326,,0.026158401562958344
20070619,3948.888,4278.36,0.013346469285161528,,0.026980206513476324
20070620,3871.648,4194.676,0.012593794431812053,,0.023576713666184856
20070621,3893.461,4218.838,0.012585079833359247,,0.023491641519483242
20070622,3733.069,4048.635,0.01401401513344074,,0.024400661234935228
20070625,3520.559,3818.897,0.015052653557058503,,0.02459797169785216
20070626,3584.939,3893.778,0.016015467381673986,,0.025723765968081347
20070627,3689.447,4007.29,0.015465139315921793,,0.025415862263991063
20070628,3520.954,3824.281,0.01575271895446419,,0.024050954702163008
20070629,3464.774,3764.93,0.016451541094908633,,0.0245048960933143
20070702,3507.614,3811.642,0.0162926759601686,,0.024547779474404674
20070703,3562.609,3871.404,0.015937935062568156,,0.024232380528612874
20070704,3493.309,3796.699,0.015492772231077456,,0.02165268939875098
20070705,3282.703,3570.406,0.016638771490604075,,0.02080572759926458
20070706,3441.753,3743.628,0.015575511756419658,,0.01983779601422775
20070709,3556.275,3868.464,0.014526289917964366,,0.018072701747277486
20070710,3459.465,3763.302,0.014787080354034445,,0.017591248016955552
20070711,3481.432,3788.401,0.01493978864727182,,0.017711209526437788
20070712,3490.212,3798.597,0.015071202037224854,,0.01788319866975696
